Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,10,1,54,5,2
1,19,1,64,7,4
1,5,1,60,16,3
1,13,2,54,7,2
1,2,2,54,5,1
1,0,2,25,3,1
1,2,3,35,5,2
1,1,3,106,11,3
0,,3,,,
1,0,5,50,5,2
1,1,5,51,12,4
1,0,5,37,6,2
1,0,6,33,7,3
1,1,6,98,16,3
1,0,6,79,20,5
1,0,7,43,8,3
0,,7,,,
1,0,7,38,7,3
1,4,8,34,3,1
1,0,8,41,2,1
1,11,8,45,8,3
0,,10,,,
0,,10,,,
1,0,10,85,17,4
1,0,11,61,8,3
0,,11,,,
1,0,11,38,3,2
1,12,12,61,10,2
1,0,14,53,6,3
1,12,14,66,1,0
1,12,14,35,8,1
1,0,15,54,8,3
1,0,15,35,5,1
1,0,15,79,15,5
1,0,16,52,7,5
1,0,16,55,4,3
1,6,16,22,4,1
1,0,17,32,9,3
0,,18,,,
1,2,1,56,9,4
0,,1,,,
1,0,2,58,7,2
1,5,2,31,5,1
1,0,2,26,8,2
1,8,3,46,3,1
1,0,3,74,13,3
1,0,3,68,6,2
1,0,5,47,5,2
1,0,5,77,21,5
1,0,5,60,8,2
1,0,6,33,7,3
1,2,6,101,14,4
1,0,6,52,4,2
1,17,7,54,9,3
0,,7,,,
1,0,7,55,10,3
1,0,9,26,2,1
1,6,9,141,28,3
1,4,9,66,20,3
0,,10,,,
0,,10,,,
0,,10,,,
1,0,11,63,8,3
1,4,11,93,16,3
1,0,11,46,6,2
1,4,12,63,7,2
0,,12,,,
0,,12,,,
1,12,13,89,18,5
1,13,13,40,2,0
0,,13,,,
1,0,14,53,6,3
1,4,14,68,12,3
1,1,14,38,7,3
1,1,15,54,8,2
1,3,16,54,13,4
1,0,16,46,5,2
0,,16,,,
1,0,17,31,8,4
1,9,17,90,17,4
0,,17,,,
1,12,18,27,8,0
