Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,0,1,23,3,1
1,0,4,69,9,4
1,18,4,107,22,4
0,,4,,,
1,0,5,44,5,2
1,4,5,42,6,1
1,0,5,51,13,3
0,,6,,,
0,,6,,,
1,0,7,31,2,0
0,,7,,,
1,5,7,85,38,3
1,2,8,28,2,0
1,11,8,102,29,3
0,,8,,,
1,0,9,49,6,2
1,7,9,81,10,2
1,3,9,50,9,3
0,,10,,,
1,4,12,28,2,1
0,,14,,,
1,21,14,48,8,2
1,0,15,30,4,1
0,,15,,,
1,0,3,40,10,2
1,0,3,45,11,4
1,0,3,36,5,3
1,10,4,61,5,1
1,2,4,78,11,2
1,2,4,39,5,1
0,,6,,,
0,,6,,,
1,6,6,23,10,1
1,0,7,70,10,4
1,18,7,50,9,6
1,0,8,26,5,2
0,,8,,,
1,0,9,62,6,2
1,2,9,58,4,1
1,0,9,58,9,3
1,11,10,61,5,3
1,13,10,51,7,1
1,6,10,78,12,3
1,7,11,29,10,1
1,4,11,64,16,5
1,5,11,45,10,2
1,2,12,32,3,1
1,2,12,109,25,4
1,3,12,44,11,3
0,,13,,,
0,,13,,,
0,,13,,,
1,8,14,79,19,4
0,,14,,,
1,0,14,77,16,6
1,0,16,28,4,2
1,10,18,71,16,3
1,0,19,49,9,3
1,0,19,47,4,3
1,10,19,50,6,2
1,7,20,72,12,3
0,,20,,,
1,9,20,50,9,2
1,0,1,34,7,4
0,,1,,,
0,,1,,,
0,,2,,,
1,0,2,118,24,3
1,0,2,125,36,6
1,0,3,39,9,2
0,,3,,,
1,1,3,50,14,3
1,6,4,95,13,2
1,7,4,91,14,4
1,3,4,46,3,0
1,0,5,53,8,2
1,0,5,51,7,2
1,6,6,20,2,0
1,4,6,58,7,2
1,13,6,27,7,1
1,3,7,71,8,2
1,1,7,66,10,3
1,4,7,41,8,2
0,,8,,,
1,9,8,86,14,2
1,3,8,96,20,3
1,7,9,63,5,2
0,,9,,,
1,0,9,37,6,2
0,,10,,,
0,,10,,,
1,18,10,54,6,1
1,0,11,33,7,3
1,0,11,56,7,2
1,4,11,78,19,5
1,4,12,25,2,1
1,15,12,140,32,3
1,0,12,31,5,2
1,0,13,41,6,3
1,13,13,44,4,2
1,4,13,55,11,3
1,15,14,40,6,2
1,2,14,37,3,0
1,0,14,63,13,4
1,8,16,39,6,1
1,12,16,46,7,1
1,0,16,35,8,3
1,0,17,15,2,0
0,,17,,,
1,0,17,59,7,2
