Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,0,1,68,7,2
1,0,1,42,7,3
0,,1,,,
1,0,3,53,8,2
1,12,3,50,7,3
1,0,3,50,7,2
1,4,4,86,5,2
1,0,7,35,3,2
1,5,7,44,8,1
1,3,7,54,13,1
1,0,8,33,3,1
1,5,10,62,6,3
0,,10,,,
0,,10,,,
1,0,11,46,8,3
1,0,11,37,4,2
1,0,12,22,2,2
1,6,12,81,8,2
1,12,12,31,5,2
1,0,13,49,7,3
1,20,13,72,13,3
1,0,13,41,4,2
1,0,14,34,4,2
1,21,14,56,8,3
1,17,14,79,17,3
0,,18,,,
0,,18,,,
1,8,18,105,26,5
1,0,19,60,10,3
1,0,19,36,9,2
0,,19,,,
1,6,4,92,13,3
1,9,4,141,26,4
0,,4,,,
1,0,6,14,1,0
1,0,7,42,4,2
1,7,7,69,9,3
1,0,7,35,8,3
1,0,8,23,2,1
1,0,8,117,22,4
0,,8,,,
1,16,9,52,6,2
0,,9,,,
1,18,9,49,9,2
1,8,10,87,22,4
1,0,11,26,3,2
0,,11,,,
1,0,11,66,13,4
1,12,12,24,1,0
0,,12,,,
1,0,12,25,3,2
1,0,13,46,8,3
1,15,13,43,1,0
1,0,13,18,2,1
1,15,14,34,6,3
0,,14,,,
1,0,16,50,10,3
1,21,16,33,4,1
1,0,16,25,7,3
0,,18,,,
1,9,19,70,36,1
1,0,19,30,3,2
0,,19,,,
1,11,20,81,9,3
1,15,20,89,5,1
