Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,4,1,40,6,3
1,21,1,108,27,4
0,,1,,,
1,0,5,89,31,4
1,0,5,43,10,3
1,2,6,34,4,0
1,0,6,32,3,0
0,,6,,,
1,3,7,52,9,3
1,0,7,81,12,4
1,5,7,83,17,5
0,,8,,,
0,,8,,,
1,14,8,70,11,2
1,5,9,55,10,2
1,4,9,51,11,3
0,,9,,,
1,0,11,69,8,3
1,20,11,114,17,3
1,10,11,44,10,2
1,0,12,32,5,2
0,,12,,,
1,0,12,51,8,3
1,0,13,44,8,3
1,8,13,52,10,2
1,6,13,33,9,3
1,1,14,45,11,4
1,0,14,45,8,2
0,,14,,,
1,0,15,19,4,1
0,,15,,,
1,10,15,31,12,1
1,0,16,53,3,2
1,4,16,77,14,3
1,0,17,60,9,2
1,20,18,133,19,3
1,0,18,54,9,3
0,,18,,,
1,0,19,38,2,2
1,2,19,48,4,2
1,6,20,59,13,4
0,,20,,,
0,,20,,,
0,,1,,,
1,7,1,70,12,3
1,8,1,51,7,2
1,0,5,76,26,4
1,0,5,54,12,3
1,15,5,69,18,2
1,0,6,33,7,2
1,0,6,50,7,2
1,0,6,62,17,7
0,,8,,,
1,15,8,87,18,4
1,5,8,56,6,2
0,,9,,,
0,,9,,,
0,,9,,,
0,,10,,,
1,6,11,45,5,3
1,11,11,58,8,2
1,0,12,35,6,2
0,,12,,,
1,5,12,63,9,3
1,0,13,20,1,1
1,7,14,44,12,4
1,0,14,51,6,2
1,4,14,87,18,3
