Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,0,1,45,9,3
0,,1,,,
0,,1,,,
1,0,2,40,2,2
1,20,2,52,11,6
1,0,2,13,1,1
1,0,4,28,2,1
1,0,5,53,12,3
1,0,5,26,3,1
1,5,5,36,10,2
1,0,6,18,2,1
1,21,6,46,4,2
1,3,6,51,9,2
0,,8,,,
0,,8,,,
1,3,8,43,7,4
1,3,9,50,8,2
1,13,9,39,10,3
1,6,9,42,3,1
0,,11,,,
1,12,11,87,13,2
0,,11,,,
1,2,12,33,1,0
1,0,12,43,8,3
1,2,12,47,16,5
1,0,14,30,5,2
1,0,14,49,12,5
1,10,14,115,15,5
1,0,15,37,6,3
1,4,15,68,12,5
0,,15,,,
1,8,17,45,17,3
1,0,17,75,17,4
1,4,17,54,13,2
1,9,18,39,3,1
1,0,18,44,6,3
1,0,18,68,15,4
1,0,19,35,4,0
1,17,19,119,29,3
1,0,19,22,4,2
0,,20,,,
0,,1,,,
0,,1,,,
1,5,1,65,12,2
1,6,4,64,13,4
1,3,4,165,27,4
1,15,4,61,12,2
1,0,5,38,7,2
1,0,5,32,4,1
1,0,5,15,2,1
1,5,6,22,3,2
1,3,6,36,1,0
0,,6,,,
1,7,8,47,7,2
0,,8,,,
1,8,9,58,10,3
1,0,9,33,5,2
1,18,9,52,4,1
1,5,10,32,2,2
1,2,11,67,8,2
1,4,12,19,2,0
0,,12,,,
1,4,12,64,16,2
1,0,14,30,5,2
1,5,14,44,8,4
1,0,15,24,4,1
0,,15,,,
1,3,15,42,6,2
1,0,16,38,4,2
1,6,16,35,4,1
1,8,16,86,12,3
1,3,17,25,5,1
1,0,17,58,6,2
1,0,17,101,32,5
1,0,18,40,4,2
1,0,18,47,5,2
0,,18,,,
1,0,19,36,2,0
1,14,19,54,7,1
1,0,19,31,3,1
0,,20,,,
1,0,1,46,8,4
0,,1,,,
0,,1,,,
1,8,2,36,5,2
1,0,2,38,4,2
1,0,2,21,4,2
1,3,3,41,3,1
0,,3,,,
0,,3,,,
1,0,4,21,1,1
1,4,5,63,18,5
1,0,5,38,6,2
1,17,5,65,24,4
1,2,6,18,1,0
1,0,6,51,9,1
1,1,6,52,12,3
1,0,8,30,4,2
1,8,8,132,36,7
1,12,8,50,10,2
0,,9,,,
1,0,9,32,4,3
1,14,9,42,5,1
1,6,10,32,3,2
1,0,11,72,16,4
1,6,11,94,11,3
1,0,11,31,11,1
1,0,12,29,2,0
1,4,12,37,5,3
0,,12,,,
